100-29,4,3,7.068,89
100-30,1,25,5.153,107
100-30,2,15,4.171,79
100-30,3,18,3.445,102
100-31,1,30,3.421,91
100-31,2,36,5.020,103
100-32,1,18,4.518,90
100-32,2,13,4.114,110
100-32,3,21,3.049,103
100-33,1,34,3.044,101
100-33,2,8,5.470,97
100-33,3,35,2.553,105
100-34,0,3,14.813,58
100-35,1,4,709,52
100-35,2,3,,
110-01,1,5,2.555,72
110-01,2,22,6.232,102
110-02,0,9,12.861,78
110-03,1,13,9.849,101
110-03,2,11,14.033,73
110-03,3,25,13.952,102
110-03,4,19,17.304,108
110-03,5,3,20.317,90
110-03,6,3,37.551,90
110-04,1,19,33.670,88
110-04,2,21,31.265,100
110-04,3,8,18.164,106
110-04,4,8,21.603,100
110-05,0,9,21.603,
120-01,0,6,1.968,58
120-02,0,19,944,81
130-01,1,16,70.725,73
130-01,2,19,23.420,90
130-01,3,5,27.592,
140-01,1,18,12.104,94
140-01,2,20,5.465,71
140-01,3,2,1.202,69
140-02,1,35,1.954,76
140-02,2,12,2.637,77
140-03,1,11,1.940,84
140-03,2,36,2.514,81
140-03,3,23,3.573,95
140-04,1,2,11.501,57
140-04,2,33,5.244,95
140-04,3,6,6.395,101
140-05,1,14,8.470,93
140-05,2,16,12.996,92
140-05,3,4,62.203,76
140-05,4,2,66.300,
140-05,5,4,100.036,
140-06,1,9,71.594,
140-06,2,14,23.597,82
140-06,3,28,7.761,107
140-06,4,6,5.998,109
150-01,0,22,5.731,89
150-03,0,11,4.548,80
150-04,0,4,4.548,
150-05,1,3,6.226,72
150-05,2,2,3.242,85
150-05,3,29,3.076,80
150-05,4,8,2.637,77
160-01,1,20,9.173,104
160-01,2,5,10.166,99
160-01,3,4,4.636,91
160-01,4,3,1.840,90
160-01,5,16,2.410,64
160-02,1,18,2.772,76
160-02,2,5,15.262,72
160-02,3,6,13.002,68
160-03,1,27,1.925,90
160-03,2,16,663,55
160-04,0,12,318,69
160-05,1,2,421,50
160-05,2,31,866,79
160-06,1,8,4.050,68
160-06,2,44,5.021,74
170-01,1,21,1.814,80
170-01,2,30,969,80
170-02,1,18,559,92
170-02,2,8,1.836,88
180-01,1,20,2.063,94
180-01,2,22,978,94
180-02,1,21,1.286,85
180-02,2,22,2.105,78
180-02,3,5,2.059,
180-02,4,10,2.066,94
180-03,1,19,2.755,88
180-03,2,15,3.167,91
180-04,1,19,3.692,83
180-04,2,17,2.419,104
180-05,1,20,4.043,85
180-05,2,5,5.634,91
180-05,3,1,7.771,77
180-05,4,30,4.558,97
180-05,5,17,4.726,80
180-06,1,7,4.979,87
180-06,2,22,8.982,95
180-06,3,19,7.199,96
180-07,1,1,52.158,
180-07,2,6,35.313,
190-01,1,6,11.225,76
190-01,2,15,9.457,110
190-02,1,28,11.579,103
190-02,2,7,13.256,98
190-02,3,8,2.572,78
190-03,1,31,1.521,92
190-03,2,25,2.496,76
190-04,1,19,1.467,102
190-04,2,13,1.063,97
190-05,1,17,1.123,94
190-05,2,23,2.610,76
190-05,3,22,4.257,76
200-01,0,30,12.106,103
200-02,1,44,6.642,103
200-02,2,17,11.988,96
200-02,3,22,8.994,100
200-03,1,7,8.173,100
200-03,2,19,6.318,104
200-03,3,17,12.340,102
200-03,4,15,27.010,91
200-03,5,4,12.584,108
200-04,1,25,14.077,98
200-04,2,3,25.804,84
200-04,3,25,30.414,104
200-05,1,14,35.591,97
200-05,2,6,33.885,92
200-05,3,12,71.094,
200-06,1,4,44.221,
200-06,2,20,35.135,98
200-06,3,9,21.800,98
200-06,4,23,18.564,104
200-07,1,23,15.872,109
200-07,2,4,34.105,
200-07,3,6,34.105,100
200-07,4,17,25.640,102
200-08,2,4,25.771,109
200-08,3,15,30.568,92
200-08,4,5,74.574,77
200-08,5,5,62.458,69
200-08,6,12,29.949,99
200-08,7,23,20.360,97
200-08,1,1,25.771,
200-09,1,15,12.380,104
200-09,2,9,11.928,109
200-09,3,32,12.240,112
200-10,1,15,22.229,108
200-10,2,24,21.203,108
200-11,0,24,22.251,102
200-12,1,24,29.304,108
200-12,2,8,31.470,98
200-12,3,13,37.372,106
200-12,4,7,49.698,101
200-13,1,23,34.844,91
200-13,2,15,29.080,97
200-14,1,8,29.080,
200-14,2,7,33.406,68
200-14,3,4,21.289,84
200-14,4,21,18.756,91
200-14,5,24,16.781,110
200-14,6,10,5.278,
200-15,1,18,4.789,109
200-15,2,31,6.705,102
200-16,1,3,,
200-16,2,2,7.763,73
200-16,3,22,7.508,101
200-16,4,14,8.198,100
200-16,5,12,9.514,105
200-17,1,23,9.387,102
200-17,2,6,12.250,69
200-17,3,28,4.217,110
200-18,1,33,4.441,103
200-18,2,24,3.428,98
200-19,1,16,2.976,99
200-19,2,35,3.469,102
200-20,1,17,7.850,102
200-20,2,21,8.006,91
200-20,3,9,11.525,89
200-21,1,2,37.267,74
200-21,2,35,5.097,91
200-21,3,32,4.589,100
200-21,4,3,2.934,88
200-22,1,34,2.438,104
200-22,2,31,2.772,83
200-23,0,29,1.851,91
210-01,1,29,2.866,86
210-01,2,21,2.486,94
210-01,3,13,5.351,83
230-01,1,6,22.568,93
230-01,2,41,12.256,105
230-01,3,5,14.638,105
230-02,1,32,15.925,104
230-02,2,4,7.541,96
230-03,1,20,5.350,87
230-03,2,26,2.235,90
230-03,3,25,2.814,96
230-04,0,44,1.019,80
230-05,1,21,907,92
230-05,2,7,1.912,98
230-06,1,24,2.899,94
230-06,2,3,9.274,68
230-06,3,32,5.853,97
230-06,4,4,15.979,90
230-06,5,13,,
230-07,1,24,7.214,96
230-07,2,8,11.286,75
240-01,1,8,19.161,90
240-01,2,2,15.482,
240-01,3,16,11.878,90
240-01,4,10,9.415,93
240-02,1,10,15.449,83
240-02,2,5,9.257,87
240-02,3,14,12.246,92
240-02,4,3,9.491,100
240-02,5,17,12.311,88
240-03,1,25,1.557,60
240-03,2,30,580,76
240-04,1,5,832,74
240-04,2,21,1.832,86
240-04,3,22,2.842,90
240-04,4,17,3.404,99
240-05,1,15,6.164,91
240-05,2,32,3.599,97
240-06,1,23,3.262,101
240-06,2,31,4.520,100
250-02,0,15,15.103,86
250-03,1,10,11.194,86
250-03,2,5,29.218,76
250-04,0,25,17.377,88
260-01,1,19,18.415,98
260-01,2,23,10.711,79
260-01,3,17,10.888,103
260-01,4,9,10.366,113
260-02,0,18,10.115,111
260-03,0,31,11.495,106
260-04,1,39,2.333,91
260-04,2,2,4.642,56
260-05,1,27,2.667,93
260-05,2,18,3.696,92
260-05,3,10,17.715,
260-06,1,18,7.165,96
260-06,2,18,5.267,98
260-06,3,17,3.613,100
260-07,1,7,3.012,104
260-07,2,19,2.883,100
260-07,3,7,2.616,95
260-08,1,17,3.274,95
260-08,2,29,2.534,105
260-08,3,10,9.036,97
260-08,4,3,11.185,103
260-08,5,25,,
260-08,6,14,12.007,106
260-08,7,5,10.278,99
260-08,8,8,7.674,
260-09,1,13,7.674,110
260-09,2,14,8.563,103
260-09,3,17,9.027,109
260-09,4,4,10.781,105
260-10,1,5,9.823,
260-10,2,26,16.179,100
260-11,1,20,15.104,94
260-11,2,6,9.128,87
260-11,3,26,7.669,103
260-11,4,10,6.141,109
260-12,1,10,6.376,94
260-12,2,5,9.082,86
260-12,3,30,5.980,101
260-13,1,25,6.729,104
260-13,2,36,5.075,107
260-14,1,11,2.694,110
260-14,2,9,3.047,91
260-15,0,26,1.262,83
260-16,0,46,790,94
260-17,1,10,717,75
260-17,2,30,453,93
260-17,3,16,212,87
260-18,0,31,458,68
260-19,0,24,817,90
260-20,1,14,760,90
260-20,2,30,1.892,89
260-20,3,8,3.414,87
260-20,4,5,,
260-20,5,2,6.990,84
260-21,1,7,4.872,93
260-21,2,9,14.269,74
260-21,3,5,18.427,80
260-21,4,1,27.297,52
260-21,5,4,22.255,56
260-21,6,7,7.523,89
270-01,0,14,978,89
270-02,1,19,365,79
270-02,2,20,194,
270-03,0,29,725,68
280-01,1,9,3.544,64
280-01,2,27,1.554,78
280-01,3,17,1.138,79
280-02,1,17,1.566,81
280-02,2,4,2.976,61
280-02,3,4,5.746,81
280-02,4,21,2.821,95
280-03,1,11,2.392,85
280-03,2,12,4.637,84
280-03,3,4,6.134,74
280-03,4,29,4.150,92
290-01,1,15,2.332,96
290-01,2,16,3.397,81
300-01,1,9,20.756,67
300-01,2,17,4.491,79
300-01,3,9,4.450,85
300-01,4,3,11.246,87
300-01,5,10,10.886,78
300-01,6,9,15.619,76
300-02,1,5,72.780,78
300-02,2,2,58.908,79
300-02,3,9,36.359,91
300-02,4,9,21.291,85
300-02,5,18,28.047,88
300-03,1,2,25.624,
300-03,2,4,32.934,58
300-03,3,21,25.722,102
300-03,4,11,25.057,96
300-03,5,8,27.336,88
300-03,6,6,29.786,87
300-04,1,21,19.094,100
300-04,2,20,15.030,103
300-04,3,4,14.150,76
300-04,4,17,14.116,105
300-05,1,25,12.232,105
300-05,2,14,12.534,108
300-06,1,15,22.246,80
300-06,2,2,24.633,
300-06,3,20,16.054,100
300-06,4,11,15.326,99
300-06,5,24,14.543,105
300-06,6,5,13.069,106
300-07,1,33,11.265,109
300-07,2,6,32.354,95
300-07,3,8,39.030,85
300-07,4,4,37.881,86
300-08,1,5,21.282,77
300-08,2,17,14.244,100
300-08,3,20,8.923,106
300-08,4,7,13.109,93
300-09,1,20,12.958,95
300-09,2,11,13.378,103
300-10,1,15,12.927,96
300-10,2,28,11.868,101
300-11,1,14,13.479,102
300-11,2,27,14.421,100
300-11,3,20,16.397,97
300-12,1,20,20.052,102
300-12,2,7,23.690,
300-12,3,7,51.123,
300-12,4,2,104.730,
300-12,5,2,117.020,
300-13,1,6,11.187,
300-13,2,14,10.172,93
300-13,3,40,7.841,109
300-13,4,12,6.868,103
300-14,1,15,7.596,99
300-14,2,9,7.732,103
300-14,3,40,10.783,103
300-15,1,11,9.415,104
300-15,2,20,6.823,
300-15,3,12,7.903,107
300-16,1,7,8.370,
300-16,2,22,13.590,91
300-16,3,2,13.719,
300-16,4,16,13.626,94
300-16,5,7,7.997,93
300-16,6,18,9.431,
300-17,1,12,9.431,108
300-17,2,14,18.421,89
300-17,3,15,11.810,108
300-17,4,7,24.042,102
300-18,1,26,13.509,98
300-18,2,12,8.036,106
300-18,3,18,7.601,107
300-18,4,9,7.829,100
300-18,5,23,7.952,108
300-18,6,1,7.997,76
300-19,1,7,4.575,92
300-19,2,30,2.647,108
300-19,3,13,2.485,120
300-20,1,11,2.485,
300-20,2,40,2.827,106
300-20,3,16,3.589,
300-21,1,18,3.066,101
300-21,2,1,4.362,72
300-21,3,17,3.785,100
300-21,4,21,2.885,108
300-22,1,3,1.343,95
300-22,2,9,3.662,84
300-22,3,17,3.815,84
300-22,4,14,5.196,98
300-23,1,8,8.068,91
300-23,2,9,13.338,90
300-23,3,3,31.977,62
300-23,4,9,29.425,74
300-23,5,5,23.956,85
300-23,6,9,10.300,74
300-23,7,27,8.194,105
300-23,8,6,7.124,95
300-24,1,18,7.405,97
300-24,2,13,9.544,97
300-24,3,8,9.427,97
300-24,4,15,9.706,91
300-25,1,5,20.287,71
300-25,2,24,9.594,91
300-25,3,14,7.385,98
300-25,4,17,7.135,97
300-26,1,2,8.962,
300-26,2,17,5.630,89
300-26,3,12,5.289,94
300-26,4,15,3.719,95
300-27,1,6,3.461,92
300-27,2,22,4.559,81
300-27,3,8,9.691,75
300-28,1,38,5.397,78
300-28,2,8,4.012,83
300-28,3,10,2.349,82
300-29,1,5,2.536,100
300-29,2,28,3.450,90
300-30,1,18,5.581,80
300-30,2,11,3.473,91
300-30,3,12,3.462,94
300-31,1,9,3.453,95
300-31,2,19,4.756,92
300-31,3,8,13.690,95
300-32,1,3,18.130,69
300-32,2,8,5.010,75
300-32,3,21,3.490,99
300-32,4,38,2.898,106
300-33,1,23,2.890,87
300-33,2,10,5.771,93
300-33,3,7,5.397,92
300-33,4,16,6.330,98
300-33,5,10,21.151,67
300-34,1,5,35.058,
300-34,2,6,6.301,66
300-34,3,24,3.832,89
300-34,4,31,2.506,85
300-34,5,3,2.590,80
300-35,1,13,1.232,96
300-35,2,23,821,86
302-01,1,19,12.577,75
302-01,2,9,2.827,98
310-01,1,11,12.936,81
310-01,2,15,11.826,86
310-01,3,10,9.780,95
310-01,4,27,6.915,67
310-01,5,2,12.854,56
310-02,1,14,6.995,72
310-02,2,12,5.061,87
310-02,3,29,4.888,72
310-03,0,23,2.563,64
320-01,1,9,24.720,93
320-01,2,3,24.124,89
320-01,3,10,20.790,87
320-01,4,16,22.526,92
320-02,1,15,21.210,89
320-02,2,24,15.423,97
320-02,3,8,10.862,
320-03,1,6,10.454,98
320-03,2,5,24.340,77
320-03,3,10,27.033,89
320-03,4,11,20.553,99
320-03,5,6,15.672,92
320-04,1,1,33.534,
320-04,2,2,28.190,
320-04,3,19,20.560,90
320-04,4,17,12.667,103
320-04,5,7,10.886,101
320-04,6,7,8.630,81
320-05,1,14,10.718,103
320-05,2,14,10.208,98
320-05,3,18,9.915,109
320-05,4,2,11.339,77
320-05,5,7,8.345,
320-06,1,23,1.772,86
320-06,2,10,1.710,84
320-06,3,17,1.452,78
320-07,1,29,1.048,
320-07,2,21,1.228,80
320-07,3,13,2.014,88
330-01,1,11,27.344,78
330-01,2,8,38.754,69
330-01,3,5,30.513,
330-01,4,16,26.387,85
330-01,5,13,28.220,
330-02,1,14,28.691,93
330-02,2,37,12.804,93
330-03,1,17,7.952,85
330-03,2,38,4.458,88
330-04,1,20,5.644,100
330-04,2,24,9.790,82
330-04,3,16,10.712,98
330-05,0,17,2.991,72
330-06,1,27,2.166,79
330-06,2,19,1.256,86
330-07,1,21,3.527,99
330-07,2,9,4.665,96
330-07,3,27,3.312,111
330-08,1,8,3.667,95
330-08,2,21,8.513,89
330-08,3,6,15.153,77
330-09,1,9,14.363,92
330-09,2,11,8.879,92
330-09,3,14,8.313,
330-09,4,4,13.884,75
330-10,1,40,4.553,86
330-10,2,10,5.138,91
330-10,3,15,3.349,
330-11,0,32,5.082,94
330-12,1,20,5.294,102
330-12,2,33,8.322,93
330-12,3,2,28.729,
330-12,4,3,66.970,
330-12,5,3,90.186,
330-12,6,1,55.634,
330-13,1,6,47.492,
330-13,2,6,47.006,
330-14,1,12,19.155,
330-14,2,18,13.903,97
330-14,3,5,11.579,104
330-14,4,44,11.327,106
330-15,1,13,13.475,96
330-15,2,3,13.186,78
330-15,3,46,10.335,97
330-16,0,33,10.469,103
330-17,0,8,2.130,96
330-18,1,24,2.130,
330-18,2,3,8.152,61
330-18,3,11,3.282,66
330-19,1,3,8.864,79
330-19,2,45,3.960,106
330-19,3,20,7.951,95
330-20,1,4,8.286,
330-20,2,25,3.322,83
330-20,3,23,1.359,94
340-01,1,32,2.728,89
340-01,2,16,923,72
340-01,3,6,2.395,77
340-02,1,41,634,65
340-02,2,12,1.374,71
340-02,3,20,800,88
340-03,0,20,421,77
340-04,1,38,1.120,70
340-04,2,5,489,63
340-05,0,39,738,77
340-06,0,41,1.888,80
350-01,1,35,7.538,88
350-01,2,13,5.481,
350-01,3,11,5.346,94
350-02,0,9,6.140,89
350-03,1,3,6.140,
350-03,2,6,8.770,100
350-04,1,11,8.287,103
350-04,2,23,8.341,98
350-05,1,4,10.367,96
350-05,2,34,15.014,93
350-05,3,13,15.186,100
350-06,0,28,1.600,92
350-07,1,17,1.252,103
350-07,2,13,1.248,93
350-08,1,3,11.783,61
350-08,2,12,9.032,83
350-08,3,35,3.843,92
350-08,4,24,3.463,100
350-09,1,11,4.401,
350-09,2,3,4.739,82
360-01,0,28,2.063,84
360-02,1,18,11.154,91
360-02,2,23,8.241,99
360-03,1,6,7.842,98
360-03,2,9,6.842,91
360-03,3,16,9.009,60
360-04,1,12,5.269,96
360-04,2,17,4.824,88
360-04,3,9,6.904,95
360-04,4,11,8.849,73
360-04,5,14,12.133,73
360-05,1,25,10.455,93
360-05,2,9,10.933,83
360-05,3,8,7.290,71
360-05,4,21,3.982,86
360-05,5,21,1.369,82
360-06,1,14,1.498,94
